FIPS,State,Name,COUNTY/TOWN,Bull,Base,Bear,RHG_HurrGDP_2020,RHG_HurrGDP_2030,RHG_HurrGDP_2040,RHG_HurrGDP_2050,RHG_HurrGDP_2060,RHG_HurrGDP_2070,RHG_HurrGDP_2080,RHG_HurrGDP_2090
28023,MS,Mississippi,Clarke County,-0.011425264,-0.018569372,-0.035011438,0.01165507,0.01718391,0.026721881,0.038608906,0.046729256,0.053957771,0.060854553,0.065398934
28025,MS,Mississippi,Clay County,-0.021393097,-0.034490926,-0.063742789,0.007336334,0.009877977,0.015476144,0.022386369,0.027116749,0.032076404,0.035584223,0.037557294
28027,MS,Mississippi,Coahoma County,-0.016580937,-0.026836478,-0.050080077,0.004037892,0.006746311,0.010985889,0.015889555,0.020713631,0.024511124,0.027836523,0.030320994
28029,MS,Mississippi,Copiah County,-0.010911544,-0.017777732,-0.033718681,0.0099337,0.016894334,0.028214242,0.04047552,0.0500064,0.057841692,0.066144785,0.072857456
28031,MS,Mississippi,Covington County,-0.016444179,-0.026565419,-0.04934388,0.011728136,0.019088454,0.029981198,0.043345934,0.052276464,0.061098182,0.069489992,0.076065009
28033,MS,Mississippi,De Soto County,-0.045566209,-0.073027031,-0.132929132,0.003933662,0.00628828,0.009324065,0.013028991,0.016107821,0.019322459,0.0214741,0.023562191
28035,MS,Mississippi,Forrest County,-0.035014183,-0.05613809,-0.102291212,0.014207886,0.022370241,0.033676414,0.048171547,0.057786665,0.067155431,0.076499259,0.083613459
28037,MS,Mississippi,Franklin County,0,0,0,0.011101017,0.019554493,0.030863138,0.044812193,0.05390782,0.063439607,0.07186941,0.079243961
28039,MS,Mississippi,George County,-0.030208774,-0.048376095,-0.08787881,0.017419717,0.025677804,0.036754912,0.051495172,0.061297746,0.070776973,0.080230416,0.085362349
28041,MS,Mississippi,Greene County,-0.001728992,-0.002881653,-0.005763306,0.015866394,0.023123693,0.034194897,0.048454395,0.057648032,0.066051487,0.075151268,0.080439927
28043,MS,Mississippi,Grenada County,-0.015375627,-0.024878953,-0.04639599,0.005634634,0.008485252,0.014145113,0.021134361,0.026297498,0.031154067,0.034742645,0.037693519
28045,MS,Mississippi,Hancock County,-0.027622032,-0.044230056,-0.080330122,0.018502514,0.028344114,0.040802181,0.055847376,0.066367496,0.07656456,0.087522116,0.096119325
28047,MS,Mississippi,Harrison County,-0.048514065,-0.0770519,-0.136981861,0.018484736,0.027495796,0.039316731,0.054893924,0.065013149,0.075493298,0.085561544,0.092493901
28049,MS,Mississippi,Hinds County,-0.019296987,-0.031027167,-0.056949186,0.008534938,0.014695346,0.024991852,0.035970341,0.044709781,0.051518246,0.058972116,0.064527781
